teacherextuserid,classtitle,classcode,category,pe_category,pe_end_index,category_type
tch_L8_20240130-202449_56,class_L8_20240130-202449_56,CXQ3-cw6D,L8,l8pe,4,L
tch_L2_20240130-202449_24,class_L2_20240130-202449_24,C6KP-BXA7,L2,l2pe,5,L
tch_M1_20240205-195359_70,class_M1_20240205-195359_70,6R3v-TEY4,M1,m1pe,11,M
tch_L1_20240304-175551_3,class_L1_20240304-175551_3,43fh-8D8f,L1,l1pe,3,L
tch_L8_20240201-182440_51,class_L8_20240201-182440_51,vNzN-4H7E,L8,l8pe,4,L
tch_M2_20240201-202034_72,class_M2_20240201-202034_72,jx9o-M474,M2,m2pe,11,M
tch_H3_20240201-190951_94,class_H3_20240201-190951_94,4Ai3-N6Bo,H3,h3pe,9,H
tch_L8_20240124-200226_58,class_L8_20240124-200226_58,76zk-FCk8,L8,l8pe,4,L
tch_M2_20240314-195444_173,class_M2_20240314-195444_173,MuN2-nwyr,M2,m2pe,11,M
tch_H1_20240314-180451_86,class_H1_20240314-180451_86,j37u-3Bgt,H1,h1pe,7,H
tch_L1_20240308-101527_115,class_L1_20240308-101527_115,rd8h-BE4T,L1,l1pe,3,L
tch_L9_20240117-195400_76,class_L9_20240117-195400_76,r8jQ-x3yC,L9,l9pe,3,L
tch_H1_20240201-182440_86,class_H1_20240201-182440_86,uxMT-y4Bb,H1,h1pe,7,H
tch_L9_20240305-102910_167,class_L9_20240305-102910_167,rNrQ-AYH6,L9,l9pe,3,L
tch_L2_20240308-101527_18,class_L2_20240308-101527_18,vt2i-nAM2,L2,l2pe,5,L
tch_M2_20240205-205820_72,class_M2_20240205-205820_72,UHVb-7eXk,M2,m2pe,11,M
tch_M2_20240314-195444_72,class_M2_20240314-195444_72,97f7-q7w4,M2,m2pe,11,M
tch_L7_20240205-203520_37,class_L7_20240205-203520_37,6c7d-xmJ4,L7,l7pe,3,L
tch_L8_20240205-195359_57,class_L8_20240205-195359_57,ckDj-84m3,L8,l8pe,4,L
tch_H5_20240131-174940_98,context_class_H5_20240131-174940_98,TxMq-FZzc,H5,h5pe,7,H
tch_L7_20240130-202449_34,class_L7_20240130-202449_34,Pa8g-MWwd,L7,l7pe,3,L
tch_H3_20240205-195359_94,class_H3_20240205-195359_94,xgBi-r6pa,H3,h3pe,9,H
tch_L2_20240201-202034_28,class_L2_20240201-202034_28,dT84-TCtp,L2,l2pe,5,L
tch_L1_20240105-151148_3,class_L1_20240105-151148_3,7Zj6-KRUT,L1,l1pe,3,L
tch_L2_20240131-174940_27,context_class_L2_20240131-174940_27,yJ28-2eaq,L2,l2pe,5,L
tch_H3_20240131-171252_92,context_class_H3_20240131-171252_92,6xeC-hWJv,H3,h3pe,9,H
tch_L9_20240117-195400_36,class_L9_20240117-195400_36,TRCJ-Kbjo,L9,l9pe,3,L
tch_L7_20240201-202034_48,class_L7_20240201-202034_48,o4q3-c3FK,L7,l7pe,3,L
tch_L9_20240117-195400_20,class_L9_20240117-195400_20,XpsF-7o3d,L9,l9pe,3,L
tch_H5_20240201-190951_99,class_H5_20240201-190951_99,Wo9m-d4hz,H5,h5pe,7,H
tch_H3_20240130-202449_92,class_H3_20240130-202449_92,f6K2-p8Q4,H3,h3pe,9,H
tch_L2_20240201-190951_28,class_L2_20240201-190951_28,dJ3v-2sCY,L2,l2pe,5,L
tch_M2_20240205-203520_72,class_M2_20240205-203520_72,6s6b-6Cs7,M2,m2pe,11,M
tch_H5_20240205-203520_99,class_H5_20240205-203520_99,Jwdc-A27M,H5,h5pe,7,H
tch_H1_20240304-175551_188,class_H1_20240304-175551_188,LPmU-Q6sq,H1,h1pe,7,H
tch_L8_20240124-200226_55,class_L8_20240124-200226_55,Qt8t-2nv9,L8,l8pe,4,L
tch_L1_20240308-101527_12,class_L1_20240308-101527_12,9H4r-zMn3,L1,l1pe,3,L
tch_L9_20240314-180451_166,class_L9_20240314-180451_166,94ir-jvxa,L9,l9pe,3,L
tch_L1_20240131-171252_6,context_class_L1_20240131-171252_6,6G9f-7RF4,L1,l1pe,3,L
tch_L7_20240119-103128_13,class_L7_20240119-103128_13,Pruo-BDn3,L7,l7pe,3,L
tch_L2_20240314-180451_22,class_L2_20240314-180451_22,nG4B-ovEQ,L2,l2pe,5,L
tch_L2_20240131-174940_18,context_class_L2_20240131-174940_18,wodK-3eab,L2,l2pe,5,L
tch_L7_20240130-184533_39,class_L7_20240130-184533_39,tHEP-eH6X,L7,l7pe,3,L
tch_L2_20240131-174940_17,context_class_L2_20240131-174940_17,udqD-89M2,L2,l2pe,5,L
tch_L2_20240205-195359_23,class_L2_20240205-195359_23,UF3R-83jM,L2,l2pe,5,L
tch_H3_20240124-200226_96,class_H3_20240124-200226_96,9Qx2-92XG,H3,h3pe,9,H
tch_L2_20240205-203520_24,class_L2_20240205-203520_24,3Yh4-9gY3,L2,l2pe,5,L
tch_M4_20240205-203520_80,class_M4_20240205-203520_80,A92F-E8cz,M4,m4pe,13,M
tch_L9_20240131-174940_66,context_class_L9_20240131-174940_66,3F3f-pNih,L9,l9pe,3,L
tch_L8_20240130-184533_49,class_L8_20240130-184533_49,N7u6-U2hJ,L8,l8pe,4,L
tch_M5_20240314-195444_82,class_M5_20240314-195444_82,UoDW-7Mu4,M5,m5pe,4,M
tch_L2_20240131-174940_28,context_class_L2_20240131-174940_28,s4G6-Ge2A,L2,l2pe,5,L
tch_L2_20240308-101527_119,class_L2_20240308-101527_119,GEct-aGnx,L2,l2pe,5,L
tch_L3_20240201-190951_29,class_L3_20240201-190951_29,mBai-d7ia,L3,l3pe,7,L
tch_M2_20240308-101527_72,class_M2_20240308-101527_72,9jL2-pLXU,M2,m2pe,11,M
tch_L8_20240120-145701_11,class_L8_20240120-145701_11,46uj-h96t,L8,l8pe,4,L
tch_M1_20240205-203520_69,class_M1_20240205-203520_69,7N3F-QJGM,M1,m1pe,11,M
tch_M2_20240102-192514_60,class_M2_20240102-192514_60,y3sX-xYHe,M2,m2pe,11,M
tch_L2_20240105-173130_16,class_L2_20240105-173130_16,P732-kU2C,L2,l2pe,5,L
tch_L9_20240117-195400_22,class_L9_20240117-195400_22,7Bqf-3pv3,L9,l9pe,3,L
tch_L7_20240305-102910_48,class_L7_20240305-102910_48,ktbU-d9Ca,L7,l7pe,3,L
tch_L8_20240205-195359_54,class_L8_20240205-195359_54,8G48-yF4j,L8,l8pe,4,L
tch_L9_20240308-101527_65,class_L9_20240308-101527_65,TW4t-pk24,L9,l9pe,3,L
tch_L1_20240305-102910_7,class_L1_20240305-102910_7,6agP-p7bT,L1,l1pe,3,L
tch_H3_20240130-202449_93,class_H3_20240130-202449_93,u8yW-7s4r,H3,h3pe,9,H
tch_L1_20240130-184533_11,class_L1_20240130-184533_11,xRna-TE2h,L1,l1pe,3,L
tch_L1_20240201-182440_11,class_L1_20240201-182440_11,gM8H-272Q,L1,l1pe,3,L
tch_L8_20240118-160029_109,class_L8_20240118-160029_109,Lh8J-F9wk,L8,l8pe,4,L
tch_L7_20240308-101527_147,class_L7_20240308-101527_147,UBxM-2i9U,L7,l7pe,3,L
tch_H3_20240130-184533_93,class_H3_20240130-184533_93,J6am-69rB,H3,h3pe,9,H
tch_L7_20240205-205820_38,class_L7_20240205-205820_38,Ri8H-VtvV,L7,l7pe,3,L
tch_L8_20240305-102910_55,class_L8_20240305-102910_55,FhYG-R6e9,L8,l8pe,4,L
tch_L7_20240130-184533_47,class_L7_20240130-184533_47,yhUp-83d9,L7,l7pe,3,L
tch_L9_20240117-195400_38,class_L9_20240117-195400_38,4Kky-T9wk,L9,l9pe,3,L
tch_L9_20240124-200226_61,class_L9_20240124-200226_61,Fzew-4YEU,L9,l9pe,3,L
tch_L1_20240130-202449_12,class_L1_20240130-202449_12,93aU-QdU8,L1,l1pe,3,L
tch_M3_20240123-135053_23,class_M3_20240123-135053_23,xy6N-L92E,M3,m3pe,5,M
tch_L2_20240305-102910_120,class_L2_20240305-102910_120,H7HB-x4n3,L2,l2pe,5,L
tch_L1_20240131-174940_1,context_class_L1_20240131-174940_1,4ePo-TBZJ,L1,l1pe,3,L
tch_M3_20240131-174940_75,context_class_M3_20240131-174940_75,4w97-4232,M3,m3pe,5,M
tch_L8_20240305-102910_155,class_L8_20240305-102910_155,cQ97-m89H,L8,l8pe,4,L
tch_M5_20240111-185155_28,class_M5_20240111-185155_28,PqXZ-PaEC,M5,m5pe,4,M
tch_L9_20240205-203520_61,class_L9_20240205-203520_61,7YkX-4HBL,L9,l9pe,3,L
tch_L1_20240308-101527_10,class_L1_20240308-101527_10,hAr3-879k,L1,l1pe,3,L
tch_L8_20240120-145701_27,class_L8_20240120-145701_27,bGn3-U9iY,L8,l8pe,4,L
tch_L2_20240201-190951_18,class_L2_20240201-190951_18,gYUf-nxEF,L2,l2pe,5,L
tch_L7_20240119-103128_82,class_L7_20240119-103128_82,mGEZ-YymP,L7,l7pe,3,L
tch_H1_20240201-202034_85,class_H1_20240201-202034_85,B6pQ-9hpM,H1,h1pe,7,H
tch_L9_20240130-202449_62,class_L9_20240130-202449_62,XBQj-G96c,L9,l9pe,3,L
tch_M2_20240201-182440_71,class_M2_20240201-182440_71,E93J-8372,M2,m2pe,11,M
tch_H3_20240201-202034_95,class_H3_20240201-202034_95,3LRA-82Y3,H3,h3pe,9,H
tch_H1_20240314-180451_87,class_H1_20240314-180451_87,369M-eN32,H1,h1pe,7,H
tch_L8_20240201-202034_54,class_L8_20240201-202034_54,RvFB-Xz72,L8,l8pe,4,L
tch_M3_20240131-174940_77,context_class_M3_20240131-174940_77,6863-9Hwy,M3,m3pe,5,M
tch_L9_20240201-190951_59,class_L9_20240201-190951_59,HpU2-JWFL,L9,l9pe,3,L
tch_M3_20240130-202449_76,class_M3_20240130-202449_76,t8k9-vu3k,M3,m3pe,5,M
tch_L2_20240314-180451_119,class_L2_20240314-180451_119,qHZN-8Lpk,L2,l2pe,5,L
tch_M5_20240111-185155_55,class_M5_20240111-185155_55,Ap36-t4Xg,M5,m5pe,4,M
tch_L8_20240308-101527_156,class_L8_20240308-101527_156,FoM3-ByP9,L8,l8pe,4,L
tch_L8_20240120-145701_64,class_L8_20240120-145701_64,8p6m-rHdx,L8,l8pe,4,L
tch_H3_20240131-174940_94,context_class_H3_20240131-174940_94,Td6v-HXjV,H3,h3pe,9,H
tch_H4_20231229-173128_87,class_H4_20231229-173128_87,m7Vz-2X3q,H4,h4pe,10,H
tch_H4_20240201-190951_97,class_H4_20240201-190951_97,fx2j-6Jhd,H4,h4pe,10,H
tch_L7_20240119-113354_30,class_L7_20240119-113354_30,grL9-3vAa,L7,l7pe,3,L
tch_L1_20240201-182440_7,class_L1_20240201-182440_7,Z86r-P8rg,L1,l1pe,3,L
tch_H3_20240305-102910_93,class_H3_20240305-102910_93,xv2s-dbAg,H3,h3pe,9,H
tch_L7_20240314-180451_140,class_L7_20240314-180451_140,UKzG-J7jd,L7,l7pe,3,L
tch_L8_20240305-102910_58,class_L8_20240305-102910_58,9Ejb-H9Gx,L8,l8pe,4,L
tch_H1_20240131-171252_86,context_class_H1_20240131-171252_86,A2wZ-92yV,H1,h1pe,7,H
tch_L8_20240120-145701_5,class_L8_20240120-145701_5,2n8a-VP32,L8,l8pe,4,L
tch_H3_20240201-202034_93,class_H3_20240201-202034_93,U4Jt-WMrm,H3,h3pe,9,H
tch_M3_20240105-183209_64,class_M3_20240105-183209_64,Aq9T-2Z23,M3,m3pe,5,M
tch_H1_20240130-202449_85,class_H1_20240130-202449_85,bBPn-34L6,H1,h1pe,7,H
tch_M4_20240104-161036_69,class_M4_20240104-161036_69,837p-qEFf,M4,m4pe,13,M
tch_L1_20240205-195359_15,class_L1_20240205-195359_15,phxf-U7qx,L1,l1pe,3,L
tch_H3_20240304-175551_93,class_H3_20240304-175551_93,FrGr-WQ3m,H3,h3pe,9,H
tch_L7_20240130-202449_39,class_L7_20240130-202449_39,iJBN-PAmp,L7,l7pe,3,L
tch_L2_20240104-171321_19,class_L2_20240104-171321_19,AoF7-U6i9,L2,l2pe,5,L
tch_L7_20240119-113354_35,class_L7_20240119-113354_35,b7W9-Pchm,L7,l7pe,3,L
tch_L7_20240305-102910_138,class_L7_20240305-102910_138,3obn-9f8J,L7,l7pe,3,L
tch_L9_20240131-171252_62,context_class_L9_20240131-171252_62,U4Hk-nMH3,L9,l9pe,3,L
tch_L9_20240117-195400_1,class_L9_20240117-195400_1,4s4b-B2yq,L9,l9pe,3,L
tch_M2_20240314-195444_172,class_M2_20240314-195444_172,WB8i-Q73w,M2,m2pe,11,M
tch_L7_20240314-180451_136,class_L7_20240314-180451_136,F9QE-yNba,L7,l7pe,3,L
tch_M2_20240124-200226_73,class_M2_20240124-200226_73,Ei8H-eoaq,M2,m2pe,11,M
tch_L7_20240119-103128_107,class_L7_20240119-103128_107,Z2ph-Zs8F,L7,l7pe,3,L
tch_L7_20240130-184533_44,class_L7_20240130-184533_44,nZ3k-4cst,L7,l7pe,3,L
tch_L7_20240201-190951_46,class_L7_20240201-190951_46,bgQp-7YX8,L7,l7pe,3,L
tch_L3_20240131-171252_31,context_class_L3_20240131-171252_31,zYg8-t2QC,L3,l3pe,7,L
tch_L7_20240205-205820_43,class_L7_20240205-205820_43,6FL3-wcfa,L7,l7pe,3,L
tch_M3_20240123-135053_27,class_M3_20240123-135053_27,24Ex-49iT,M3,m3pe,5,M
tch_L1_20240304-175551_13,class_L1_20240304-175551_13,ANef-76if,L1,l1pe,3,L
tch_L2_20240124-200226_22,class_L2_20240124-200226_22,4Ah7-EhVL,L2,l2pe,5,L
tch_L9_20240314-180451_161,class_L9_20240314-180451_161,L8t7-3qcV,L9,l9pe,3,L
tch_H3_20240123-135053_12,class_H3_20240123-135053_12,Gp7u-N3GQ,H3,h3pe,9,H
tch_L2_20240304-175551_23,class_L2_20240304-175551_23,9GJ2-4Hem,L2,l2pe,5,L
tch_H2_20240314-180451_90,class_H2_20240314-180451_90,dBfd-3DEh,H2,h2pe,17,H
tch_L8_20240314-180451_52,class_L8_20240314-180451_52,AKT7-Vt6U,L8,l8pe,4,L
tch_H1_20240130-184533_86,class_H1_20240130-184533_86,2jUN-6Dy7,H1,h1pe,7,H
tch_L9_20240130-202449_68,class_L9_20240130-202449_68,9NDi-rZdo,L9,l9pe,3,L
tch_M5_20240130-202449_83,class_M5_20240130-202449_83,wx2s-V2bL,M5,m5pe,4,M
tch_M4_20240201-190951_80,class_M4_20240201-190951_80,rmjw-apt8,M4,m4pe,13,M
tch_L7_20240305-102910_43,class_L7_20240305-102910_43,AE3a-r93B,L7,l7pe,3,L
tch_L9_20240308-101527_159,class_L9_20240308-101527_159,eJXT-P837,L9,l9pe,3,L
tch_L3_20240308-101527_129,class_L3_20240308-101527_129,w8ar-hMW2,L3,l3pe,7,L
tch_L8_20240308-101527_56,class_L8_20240308-101527_56,xYqT-RnVu,L8,l8pe,4,L
tch_L3_20240201-182440_32,class_L3_20240201-182440_32,67b2-68ga,L3,l3pe,7,L
tch_M2_20240131-171252_72,context_class_M2_20240131-171252_72,bBYf-R93E,M2,m2pe,11,M
tch_L8_20240201-202034_50,class_L8_20240201-202034_50,BmvQ-Dc97,L8,l8pe,4,L
tch_L2_20240105-161058_11,class_L2_20240105-161058_11,4f26-2dE7,L2,l2pe,5,L
tch_M2_20240314-180451_73,class_M2_20240314-180451_73,jL32-MYNB,M2,m2pe,11,M
tch_L9_20240117-195400_6,class_L9_20240117-195400_6,EGkX-6dDL,L9,l9pe,3,L
tch_L7_20240130-202449_48,class_L7_20240130-202449_48,E9tU-LFqR,L7,l7pe,3,L
tch_H1_20240201-182440_88,class_H1_20240201-182440_88,2rE9-uHrt,H1,h1pe,7,H
tch_L1_20240130-184533_2,class_L1_20240130-184533_2,c6eT-VfJc,L1,l1pe,3,L
tch_H3_20240314-180451_92,class_H3_20240314-180451_92,iGzd-D7kY,H3,h3pe,9,H
tch_L7_20240314-180451_145,class_L7_20240314-180451_145,3DYo-x7XR,L7,l7pe,3,L
tch_L2_20240201-202034_27,class_L2_20240201-202034_27,62nF-7Tj8,L2,l2pe,5,L
tch_L3_20240201-202034_31,class_L3_20240201-202034_31,U7dx-73gk,L3,l3pe,7,L
tch_L8_20240205-203520_56,class_L8_20240205-203520_56,8Lr6-KN26,L8,l8pe,4,L
tch_L2_20240305-102910_22,class_L2_20240305-102910_22,xA6m-246G,L2,l2pe,5,L
tch_L9_20240130-184533_61,class_L9_20240130-184533_61,ygBN-dDZA,L9,l9pe,3,L
tch_L2_20240130-202449_23,class_L2_20240130-202449_23,9n9U-9uDx,L2,l2pe,5,L
tch_L7_20240119-103128_29,class_L7_20240119-103128_29,YbX6-oVyh,L7,l7pe,3,L
tch_L7_20240314-180451_46,class_L7_20240314-180451_46,CTph-j9F3,L7,l7pe,3,L
tch_L7_20240119-103128_111,class_L7_20240119-103128_111,z3q3-wi7p,L7,l7pe,3,L
tch_L7_20240130-202449_40,class_L7_20240130-202449_40,9bAU-Cmr4,L7,l7pe,3,L
tch_M3_20240205-195359_74,class_M3_20240205-195359_74,wh3M-ap7a,M3,m3pe,5,M
tch_H5_20240130-202449_99,class_H5_20240130-202449_99,NRcB-4L9B,H5,h5pe,7,H
tch_M3_20240205-195359_75,class_M3_20240205-195359_75,834m-xqz7,M3,m3pe,5,M
tch_L7_20240119-103128_21,class_L7_20240119-103128_21,JY7M-kf6a,L7,l7pe,3,L
tch_L1_20240131-174940_13,context_class_L1_20240131-174940_13,WyxG-8z2h,L1,l1pe,3,L
tch_M2_20240314-180451_72,class_M2_20240314-180451_72,ujqh-ETis,M2,m2pe,11,M
tch_L7_20240119-103128_71,class_L7_20240119-103128_71,sXQt-3q89,L7,l7pe,3,L
tch_L1_20240304-175551_7,class_L1_20240304-175551_7,VT7Y-FGt9,L1,l1pe,3,L
tch_L9_20240305-102910_68,class_L9_20240305-102910_68,KThb-rgZV,L9,l9pe,3,L
tch_L1_20240105-161058_8,class_L1_20240105-161058_8,3eRw-zieL,L1,l1pe,3,L
tch_L9_20240314-180451_63,class_L9_20240314-180451_63,6Px2-tz4W,L9,l9pe,3,L
tch_L2_20240308-101527_27,class_L2_20240308-101527_27,gGZd-82aA,L2,l2pe,5,L
tch_H3_20240308-101527_94,class_H3_20240308-101527_94,gE63-noxp,H3,h3pe,9,H
tch_L9_20240117-195400_41,class_L9_20240117-195400_41,Vjes-ZsV2,L9,l9pe,3,L
tch_L7_20240124-200226_43,class_L7_20240124-200226_43,9gAX-WyEs,L7,l7pe,3,L
tch_L7_20240205-195359_39,class_L7_20240205-195359_39,4NZX-Avby,L7,l7pe,3,L
tch_H2_20240201-182440_91,class_H2_20240201-182440_91,Jq62-r7zc,H2,h2pe,17,H
tch_M3_20240201-190951_75,class_M3_20240201-190951_75,wYNm-28pE,M3,m3pe,5,M
tch_L1_20240205-203520_6,class_L1_20240205-203520_6,8A89-j7TV,L1,l1pe,3,L
tch_L7_20240119-103128_67,class_L7_20240119-103128_67,jHKJ-V3jq,L7,l7pe,3,L
tch_M3_20240105-161058_64,class_M3_20240105-161058_64,J79s-F2GE,M3,m3pe,5,M
tch_H1_20240205-195359_88,class_H1_20240205-195359_88,4uy8-a3Fc,H1,h1pe,7,H
tch_H1_20240106-201002_72,class_H1_20240106-201002_72,26v8-HBon,H1,h1pe,7,H
tch_L2_20240201-202034_23,class_L2_20240201-202034_23,2jDH-4pvp,L2,l2pe,5,L
tch_L8_20240201-182440_50,class_L8_20240201-182440_50,2T8y-kuf9,L8,l8pe,4,L
tch_L1_20240131-171252_15,context_class_L1_20240131-171252_15,cwaw-7TB4,L1,l1pe,3,L
tch_L1_20240201-202034_15,class_L1_20240201-202034_15,rb7a-D38C,L1,l1pe,3,L
tch_L7_20240124-200226_41,class_L7_20240124-200226_41,P9wo-3Nn4,L7,l7pe,3,L
tch_H3_20240304-175551_192,class_H3_20240304-175551_192,B3E2-Z7Cg,H3,h3pe,9,H
tch_M2_20240124-200226_72,class_M2_20240124-200226_72,6Kfw-MKa7,M2,m2pe,11,M
tch_L2_20240105-161058_17,class_L2_20240105-161058_17,x6dc-vxz4,L2,l2pe,5,L
tch_L8_20240201-202034_55,class_L8_20240201-202034_55,7Tjc-qhE8,L8,l8pe,4,L
tch_L8_20240314-180451_150,class_L8_20240314-180451_150,Ae7z-MYv8,L8,l8pe,4,L
tch_M4_20240102-154640_70,class_M4_20240102-154640_70,r6fk-e38t,M4,m4pe,13,M
tch_L9_20240201-182440_65,class_L9_20240201-182440_65,7NRh-XM9W,L9,l9pe,3,L
tch_L1_20240314-180451_101,class_L1_20240314-180451_101,NqU7-pJFC,L1,l1pe,3,L
tch_L7_20240130-202449_41,class_L7_20240130-202449_41,gi9a-kft9,L7,l7pe,3,L
tch_L1_20240124-200226_14,class_L1_20240124-200226_14,9V64-tV2e,L1,l1pe,3,L
tch_L1_20240131-171252_9,context_class_L1_20240131-171252_9,i3hz-V8A6,L1,l1pe,3,L
tch_L7_20240119-103128_115,class_L7_20240119-103128_115,ZQ7J-nBRt,L7,l7pe,3,L
tch_M3_20240205-205820_75,class_M3_20240205-205820_75,ZX69-jc9R,M3,m3pe,5,M
tch_L1_20240201-202034_13,class_L1_20240201-202034_13,w3Vz-2k32,L1,l1pe,3,L
tch_M5_20240201-202034_84,class_M5_20240201-202034_84,7MDQ-s243,M5,m5pe,4,M
tch_M2_20240205-195359_71,class_M2_20240205-195359_71,4ea6-MLqw,M2,m2pe,11,M
tch_L3_20240104-171321_28,class_L3_20240104-171321_28,gZ3Q-72cH,L3,l3pe,7,L
tch_L1_20240124-200226_8,class_L1_20240124-200226_8,wkos-76Xw,L1,l1pe,3,L
tch_H1_20240201-190951_85,class_H1_20240201-190951_85,hn3s-o2zc,H1,h1pe,7,H
tch_L1_20240205-203520_12,class_L1_20240205-203520_12,kcba-B4Bb,L1,l1pe,3,L
tch_L3_20240201-202034_29,class_L3_20240201-202034_29,9UC3-9Ah8,L3,l3pe,7,L
tch_L8_20240131-174940_52,context_class_L8_20240131-174940_52,khtC-3cgf,L8,l8pe,4,L
tch_L7_20240314-180451_41,class_L7_20240314-180451_41,M67a-uFND,L7,l7pe,3,L
tch_H3_20240314-180451_93,class_H3_20240314-180451_93,bLbE-yz8x,H3,h3pe,9,H
tch_L8_20240205-203520_52,class_L8_20240205-203520_52,TX7K-BzgN,L8,l8pe,4,L
tch_L8_20240131-174940_56,context_class_L8_20240131-174940_56,QaZ7-f2FX,L8,l8pe,4,L
tch_L7_20240201-202034_36,class_L7_20240201-202034_36,24yJ-WZm3,L7,l7pe,3,L
tch_L3_20240103-170558_23,class_L3_20240103-170558_23,CXb6-pjY4,L3,l3pe,7,L
tch_L2_20240305-102910_127,class_L2_20240305-102910_127,qmPM-E9fd,L2,l2pe,5,L
tch_H6_20240205-205820_100,class_H6_20240205-205820_100,knRU-TpGT,H6,h6pe,10,H
tch_H3_20240308-101527_93,class_H3_20240308-101527_93,YMLn-c3rV,H3,h3pe,9,H
tch_H1_20240130-202449_87,class_H1_20240130-202449_87,fHdb-oZcT,H1,h1pe,7,H
tch_L2_20240205-205820_16,class_L2_20240205-205820_16,7PWa-U43F,L2,l2pe,5,L
tch_L2_20240124-200226_18,class_L2_20240124-200226_18,N7Mw-Tt8t,L2,l2pe,5,L
tch_L9_20240205-203520_63,class_L9_20240205-203520_63,DhJV-zv37,L9,l9pe,3,L
tch_L9_20240131-171252_68,context_class_L9_20240131-171252_68,6c67-Uaqr,L9,l9pe,3,L
tch_L1_20240131-171252_11,context_class_L1_20240131-171252_11,7g3H-i8Uz,L1,l1pe,3,L
tch_L9_20240124-200226_62,class_L9_20240124-200226_62,c6BQ-f7r2,L9,l9pe,3,L
tch_L8_20240131-171252_55,context_class_L8_20240131-171252_55,gEJD-38ny,L8,l8pe,4,L
tch_L3_20240130-184533_32,class_L3_20240130-184533_32,MAeJ-8gUi,L3,l3pe,7,L
tch_L2_20240201-202034_25,class_L2_20240201-202034_25,E7sV-n87J,L2,l2pe,5,L
tch_L1_20240205-195359_3,class_L1_20240205-195359_3,R8D7-bXr8,L1,l1pe,3,L
tch_M1_20240314-195444_69,class_M1_20240314-195444_69,2e26-sKMF,M1,m1pe,11,M
tch_L1_20240131-171252_1,context_class_L1_20240131-171252_1,NMQM-8jA2,L1,l1pe,3,L
tch_M5_20240201-202034_81,class_M5_20240201-202034_81,Tqk6-MA8Y,M5,m5pe,4,M
tch_L8_20240305-102910_156,class_L8_20240305-102910_156,i9zA-E8pY,L8,l8pe,4,L
tch_H5_20240131-171252_99,context_class_H5_20240131-171252_99,27eR-h36j,H5,h5pe,7,H
tch_M2_20240314-180451_173,class_M2_20240314-180451_173,7uUb-3gJG,M2,m2pe,11,M
tch_L3_20240103-170558_26,class_L3_20240103-170558_26,BP6t-jt3Z,L3,l3pe,7,L
tch_H3_20240130-202449_95,class_H3_20240130-202449_95,73tA-k4L4,H3,h3pe,9,H
tch_L1_20240308-101527_9,class_L1_20240308-101527_9,EXR6-EzLi,L1,l1pe,3,L
tch_M1_20240205-203520_70,class_M1_20240205-203520_70,JyhA-8BPG,M1,m1pe,11,M
tch_L7_20240205-195359_46,class_L7_20240205-195359_46,it92-C2am,L7,l7pe,3,L
tch_L2_20240304-175551_22,class_L2_20240304-175551_22,j8Ve-3428,L2,l2pe,5,L
tch_L9_20240201-202034_67,class_L9_20240201-202034_67,863G-Do8R,L9,l9pe,3,L
tch_H1_20240105-151148_71,class_H1_20240105-151148_71,c3C8-6sPt,H1,h1pe,7,H
tch_L2_20240130-184533_18,class_L2_20240130-184533_18,V3nv-XzL6,L2,l2pe,5,L
tch_M5_20240205-205820_82,class_M5_20240205-205820_82,Q3MG-2423,M5,m5pe,4,M
tch_L9_20240117-195400_27,class_L9_20240117-195400_27,hkwt-bU4f,L9,l9pe,3,L
tch_L8_20240130-202449_57,class_L8_20240130-202449_57,hnF6-WRKx,L8,l8pe,4,L
tch_L8_20240205-203520_55,class_L8_20240205-203520_55,izx6-mA9n,L8,l8pe,4,L
tch_L8_20240120-145701_26,class_L8_20240120-145701_26,kC7a-7h4Z,L8,l8pe,4,L
tch_L9_20240205-195359_59,class_L9_20240205-195359_59,2T3G-7bzh,L9,l9pe,3,L
tch_L9_20240308-101527_163,class_L9_20240308-101527_163,H7vo-qyQ4,L9,l9pe,3,L
tch_L2_20240130-184533_28,class_L2_20240130-184533_28,TpT7-282V,L2,l2pe,5,L
tch_H4_20240305-102910_197,class_H4_20240305-102910_197,vMnV-LQ7A,H4,h4pe,10,H
tch_M4_20240314-195444_80,class_M4_20240314-195444_80,N4cj-82fG,M4,m4pe,13,M
tch_H3_20240305-102910_194,class_H3_20240305-102910_194,3GYa-z4da,H3,h3pe,9,H
tch_L7_20240131-174940_36,context_class_L7_20240131-174940_36,dn9Z-GvL2,L7,l7pe,3,L
tch_L1_20240131-174940_11,context_class_L1_20240131-174940_11,J6rB-e7NF,L1,l1pe,3,L
tch_L7_20240314-180451_137,class_L7_20240314-180451_137,g9B9-aM7A,L7,l7pe,3,L
tch_L2_20240205-195359_22,class_L2_20240205-195359_22,DiFV-rMWC,L2,l2pe,5,L
tch_H1_20240201-202034_88,class_H1_20240201-202034_88,zyfR-oNZd,H1,h1pe,7,H
tch_H1_20240308-101527_187,class_H1_20240308-101527_187,PX8F-kR9u,H1,h1pe,7,H
tch_L7_20240308-101527_135,class_L7_20240308-101527_135,36HC-vg8A,L7,l7pe,3,L
tch_L2_20240124-200226_16,class_L2_20240124-200226_16,my7Z-8wRw,L2,l2pe,5,L
tch_M3_20240201-182440_74,class_M3_20240201-182440_74,v723-9wAh,M3,m3pe,5,M
tch_L9_20240308-101527_167,class_L9_20240308-101527_167,t3Ph-9Ati,L9,l9pe,3,L
