teacher,classcode,c,d,e,f,g,h
tch_20200513-093730_1412,class_20200513-093730_1412,YB9d-N3ga,,,,,
tch_20200513-093730_1414,class_20200513-093730_1414,BqV8-UJ4R,,,,,
tch_20200513-093730_1415,class_20200513-093730_1415,Gwvi-Ey63,,,,,
tch_20200513-093730_1419,class_20200513-093730_1419,oBa9-xk34,,,,,
tch_20200513-093730_1417,class_20200513-093730_1417,674Q-XUs2,,,,,
tch_20200513-093730_1416,class_20200513-093730_1416,iM97-oxT7,,,,,
tch_20200513-093730_1418,class_20200513-093730_1418,e2d7-Zq29,,,,,
tch_20200513-093730_1421,class_20200513-093730_1421,pufA-Q3LA,,,,,
tch_20200513-093730_1420,class_20200513-093730_1420,zDFW-onjB,,,,,
tch_20200513-093730_1423,class_20200513-093730_1423,3Pnq-N9Nu,,,,,
tch_20200513-093730_1424,class_20200513-093730_1424,fr3q-dL2w,,,,,
tch_20200513-093730_1422,class_20200513-093730_1422,6UX7-NTa6,,,,,
tch_20200513-093730_1425,class_20200513-093730_1425,XFog-fVQ6,,,,,
tch_20200513-093730_1426,class_20200513-093730_1426,4KTD-JAQq,,,,,
tch_20200513-093730_1427,class_20200513-093730_1427,uUL2-PMGA,,,,,
tch_20200513-093730_1428,class_20200513-093730_1428,4ZG7-2h4F,,,,,
tch_20200513-093730_1430,class_20200513-093730_1430,y6Kg-uiQ4,,,,,
tch_20200513-093730_1431,class_20200513-093730_1431,3Ka9-e3wW,,,,,
tch_20200513-093730_1429,class_20200513-093730_1429,E8s6-A9mW,,,,,
tch_20200513-093730_1432,class_20200513-093730_1432,D76k-jV42,,,,,
tch_20200513-093730_1433,class_20200513-093730_1433,eTfE-jobF,,,,,
tch_20200513-093730_1434,class_20200513-093730_1434,3Gec-iTpt,,,,,
tch_20200513-093730_1435,class_20200513-093730_1435,9QWA-pB87,,,,,
tch_20200513-093730_1436,class_20200513-093730_1436,W96b-c786,,,,,
tch_20200513-093730_1438,class_20200513-093730_1438,Bw6i-4pv7,,,,,
tch_20200513-093730_1437,class_20200513-093730_1437,ovka-7zQu,,,,,
tch_20200513-093730_1439,class_20200513-093730_1439,sAk8-YpBu,,,,,
tch_20200513-093730_1442,class_20200513-093730_1442,om4g-PiEF,,,,,
tch_20200513-093730_1441,class_20200513-093730_1441,TXVU-NM6Q,,,,,
tch_20200513-093730_1440,class_20200513-093730_1440,7Au3-hvzX,,,,,
tch_20200513-093730_1443,class_20200513-093730_1443,4scZ-vFni,,,,,
tch_20200513-093730_1444,class_20200513-093730_1444,K4Ru-QDvM,,,,,
tch_20200513-093730_1445,class_20200513-093730_1445,F7tk-sw6i,,,,,
tch_20200513-093730_1447,class_20200513-093730_1447,WPVU-u9qY,,,,,
tch_20200513-093730_1449,class_20200513-093730_1449,D8B2-o742,,,,,
tch_20200513-093730_1448,class_20200513-093730_1448,jm9Q-9JjL,,,,,
tch_20200513-093730_1450,class_20200513-093730_1450,C2B2-CmL7,,,,,
tch_20200513-093730_1446,class_20200513-093730_1446,k3yH-gVdK,,,,,
tch_20200513-093730_1451,class_20200513-093730_1451,L46W-42sN,,,,,
tch_20200513-093730_1452,class_20200513-093730_1452,j29K-92xW,,,,,
tch_20200513-093730_1453,class_20200513-093730_1453,CU2u-mkD2,,,,,
tch_20200513-093730_1454,class_20200513-093730_1454,Vyxe-2Tt2,,,,,
tch_20200513-093730_1457,class_20200513-093730_1457,xTKc-xX7E,,,,,
tch_20200513-093730_1455,class_20200513-093730_1455,Cfkz-sr3V,,,,,
tch_20200513-093730_1458,class_20200513-093730_1458,27jU-LRNv,,,,,
tch_20200513-093730_1459,class_20200513-093730_1459,vBg9-J4Rq,,,,,
tch_20200513-093730_1456,class_20200513-093730_1456,79h6-uEbx,,,,,
tch_20200513-093730_1460,class_20200513-093730_1460,PL8k-iho6,,,,,
tch_20200513-093730_1461,class_20200513-093730_1461,4g76-uN8W,,,,,
tch_20200513-093730_1462,class_20200513-093730_1462,xMXP-qwFx,,,,,
tch_20200513-093730_1463,class_20200513-093730_1463,btvo-H2B6,,,,,
tch_20200513-093730_1464,class_20200513-093730_1464,wxis-vTUb,,,,,
tch_20200513-093730_1467,class_20200513-093730_1467,ALfy-fq42,,,,,
tch_20200513-093730_1466,class_20200513-093730_1466,eKou-h9Ga,,,,,
tch_20200513-093730_1465,class_20200513-093730_1465,dqj7-NX82,,,,,
tch_20200513-093730_1468,class_20200513-093730_1468,Y6J6-Cefk,,,,,
tch_20200513-093730_1470,class_20200513-093730_1470,7Bw2-nz9R,,,,,
tch_20200513-093730_1469,class_20200513-093730_1469,Jw2f-4s2f,,,,,
tch_20200513-093730_1472,class_20200513-093730_1472,BFn8-KUjD,,,,,
tch_20200513-093730_1471,class_20200513-093730_1471,3HKt-b63m,,,,,
tch_20200513-093730_1476,class_20200513-093730_1476,Lbq2-4yv9,,,,,
tch_20200513-093730_1473,class_20200513-093730_1473,L38F-ewKu,,,,,
tch_20200513-093730_1474,class_20200513-093730_1474,Bd6j-CXQ7,,,,,
tch_20200513-093730_1475,class_20200513-093730_1475,74dL-p9TP,,,,,
tch_20200513-093730_1478,class_20200513-093730_1478,CGN9-Y3T8,,,,,
tch_20200513-093730_1479,class_20200513-093730_1479,4Gcw-EpZT,,,,,
tch_20200513-093730_1477,class_20200513-093730_1477,L8iu-6vC7,,,,,
tch_20200513-093730_1480,class_20200513-093730_1480,9Nk8-VW6C,,,,,
tch_20200513-093730_1481,class_20200513-093730_1481,6juA-hZyB,,,,,
tch_20200513-093730_1483,class_20200513-093730_1483,hgod-8B3B,,,,,
tch_20200513-093730_1484,class_20200513-093730_1484,w9tr-JzUx,,,,,
tch_20200513-093730_1482,class_20200513-093730_1482,6Gj2-6ren,,,,,
tch_20200513-093730_1485,class_20200513-093730_1485,2AVR-en4X,,,,,
tch_20200513-093730_1486,class_20200513-093730_1486,d2BK-nA34,,,,,
tch_20200513-093730_1489,class_20200513-093730_1489,QjcB-b9AY,,,,,
tch_20200513-093730_1488,class_20200513-093730_1488,PeKN-fU2z,,,,,
tch_20200513-093730_1487,class_20200513-093730_1487,PNa7-GzZK,,,,,
tch_20200513-093730_1490,class_20200513-093730_1490,9Afn-aWpd,,,,,
tch_20200513-093730_1491,class_20200513-093730_1491,7fMe-Nr96,,,,,
tch_20200513-093730_1492,class_20200513-093730_1492,9Zvj-yn6q,,,,,
tch_20200513-093730_1495,class_20200513-093730_1495,TDT9-yRu2,,,,,
tch_20200513-093730_1494,class_20200513-093730_1494,FL3q-m864,,,,,
tch_20200513-093730_1493,class_20200513-093730_1493,A8aZ-jygM,,,,,
tch_20200513-093730_1497,class_20200513-093730_1497,6bd2-qu24,,,,,
tch_20200513-093730_1496,class_20200513-093730_1496,xZb4-eMrM,,,,,
tch_20200513-093730_1500,class_20200513-093730_1500,Gzs2-nxZd,,,,,
tch_20200513-093730_1612,class_20200513-093730_1612,wFRV-4Nex,,,,,
tch_20200513-093730_1614,class_20200513-093730_1614,sQ9B-946m,,,,,
tch_20200513-093730_1613,class_20200513-093730_1613,32f2-deqa,,,,,
tch_20200513-093730_1615,class_20200513-093730_1615,miVR-mJoW,,,,,
tch_20200513-093730_1616,class_20200513-093730_1616,eZfm-6s47,,,,,
tch_20200513-093730_1617,class_20200513-093730_1617,WqdD-3bZ9,,,,,
tch_20200513-093730_1618,class_20200513-093730_1618,Par2-TA37,,,,,
tch_20200513-093730_1619,class_20200513-093730_1619,3Daz-vcRQ,,,,,
tch_20200513-093730_1621,class_20200513-093730_1621,qvV2-UDC2,,,,,
tch_20200513-093730_1620,class_20200513-093730_1620,WZKp-jhFc,,,,,
tch_20200513-093730_1623,class_20200513-093730_1623,ik3A-Z2cC,,,,,
tch_20200513-093730_1624,class_20200513-093730_1624,gvq9-Z6iL,,,,,
tch_20200513-093730_1622,class_20200513-093730_1622,i2hV-H48r,,,,,
tch_20200513-093730_1626,class_20200513-093730_1626,9G47-rUcU,,,,,
tch_20200513-093730_1625,class_20200513-093730_1625,TBxv-b28u,,,,,
tch_20200513-093730_1628,class_20200513-093730_1628,iPUZ-zbAu,,,,,
tch_20200513-093730_1627,class_20200513-093730_1627,xq24-JRpq,,,,,
tch_20200513-093730_1631,class_20200513-093730_1631,zK8o-k6m4,,,,,
tch_20200513-093730_1629,class_20200513-093730_1629,A43E-ij8n,,,,,
tch_20200513-093730_1630,class_20200513-093730_1630,yP4B-yAhX,,,,,
tch_20200513-093730_1632,class_20200513-093730_1632,m4FW-UoJQ,,,,,
tch_20200513-093730_1634,class_20200513-093730_1634,7K4k-27EM,,,,,
tch_20200513-093730_1633,class_20200513-093730_1633,9H76-4GVW,,,,,
tch_20200513-093730_1636,class_20200513-093730_1636,423H-Go4d,,,,,
tch_20200513-093730_1635,class_20200513-093730_1635,NLC8-BE96,,,,,
tch_20200513-093730_1637,class_20200513-093730_1637,Df37-Y32U,,,,,
tch_20200513-093730_1639,class_20200513-093730_1639,3QYU-e8gu,,,,,
tch_20200513-093730_1638,class_20200513-093730_1638,ZN2v-shbB,,,,,
tch_20200513-093730_1640,class_20200513-093730_1640,rjAE-2hVe,,,,,
tch_20200513-093730_1642,class_20200513-093730_1642,gr3G-3Q92,,,,,
tch_20200513-093730_1641,class_20200513-093730_1641,BnQ2-oa7B,,,,,
tch_20200513-093730_1644,class_20200513-093730_1644,NYye-KGCP,,,,,
tch_20200513-093730_1643,class_20200513-093730_1643,g629-3nxK,,,,,
tch_20200513-093730_1646,class_20200513-093730_1646,ZehZ-MG4s,,,,,
tch_20200513-093730_1645,class_20200513-093730_1645,27EF-kzfE,,,,,
tch_20200513-093730_1647,class_20200513-093730_1647,nHqy-3bFh,,,,,
tch_20200513-093730_1648,class_20200513-093730_1648,tFo3-Q2v4,,,,,
tch_20200513-093730_1649,class_20200513-093730_1649,eYNc-HuZ4,,,,,
tch_20200513-093730_1651,class_20200513-093730_1651,FcLu-9v63,,,,,
tch_20200513-093730_1650,class_20200513-093730_1650,9yx9-f94M,,,,,
tch_20200513-093730_1652,class_20200513-093730_1652,7AB6-7Jr3,,,,,
tch_20200513-093730_1653,class_20200513-093730_1653,JZaP-4Yws,,,,,
tch_20200513-093730_1654,class_20200513-093730_1654,rVFw-3eQN,,,,,
tch_20200513-093730_1656,class_20200513-093730_1656,chME-J7t4,,,,,
tch_20200513-093730_1655,class_20200513-093730_1655,RULX-Y2Wd,,,,,
tch_20200513-093730_1657,class_20200513-093730_1657,3uXq-Y867,,,,,
tch_20200513-093730_1658,class_20200513-093730_1658,6PZC-326t,,,,,
tch_20200513-093730_1661,class_20200513-093730_1661,Tmdz-um4a,,,,,
tch_20200513-093730_1659,class_20200513-093730_1659,ZpMp-QmM7,,,,,
tch_20200513-093730_1663,class_20200513-093730_1663,bDVY-3d2j,,,,,
tch_20200513-093730_1660,class_20200513-093730_1660,6Rg3-aKig,,,,,
tch_20200513-093730_1662,class_20200513-093730_1662,Km6w-BzGz,,,,,
tch_20200513-093730_1664,class_20200513-093730_1664,U8tG-DTmY,,,,,
tch_20200513-093730_1667,class_20200513-093730_1667,cfip-79jA,,,,,
tch_20200513-093730_1666,class_20200513-093730_1666,WgCv-DiKe,,,,,
tch_20200513-093730_1665,class_20200513-093730_1665,LQZo-Gv3B,,,,,
tch_20200513-093730_1668,class_20200513-093730_1668,CL3k-DKj4,,,,,
tch_20200513-093730_1669,class_20200513-093730_1669,8aRg-d28t,,,,,
tch_20200513-093730_1670,class_20200513-093730_1670,3Vep-QrNY,,,,,
tch_20200513-093730_1672,class_20200513-093730_1672,GHgP-V93s,,,,,
tch_20200513-093730_1673,class_20200513-093730_1673,3xUZ-2pk6,,,,,
tch_20200513-093730_1674,class_20200513-093730_1674,D9ed-U4MN,,,,,
tch_20200513-093730_1671,class_20200513-093730_1671,ms8q-6p9N,,,,,
tch_20200513-093730_1675,class_20200513-093730_1675,tcGm-49t7,,,,,
tch_20200513-093730_1676,class_20200513-093730_1676,6ftR-iGZ2,,,,,
tch_20200513-093730_1677,class_20200513-093730_1677,oR3Q-NfZ3,,,,,
tch_20200513-093730_1680,class_20200513-093730_1680,63V7-y63q,,,,,
tch_20200513-093730_1678,class_20200513-093730_1678,q3CQ-sy2o,,,,,
tch_20200513-093730_1681,class_20200513-093730_1681,o8BC-326Y,,,,,
tch_20200513-093730_1682,class_20200513-093730_1682,m3kY-gJQf,,,,,
tch_20200513-093730_1679,class_20200513-093730_1679,6W8d-92hP,,,,,
tch_20200513-093730_1684,class_20200513-093730_1684,MD42-M4B3,,,,,
tch_20200513-093730_1683,class_20200513-093730_1683,A87p-B3oJ,,,,,
tch_20200513-093730_1687,class_20200513-093730_1687,jvxw-mBu7,,,,,
tch_20200513-093730_1686,class_20200513-093730_1686,U6G6-7Ugn,,,,,
tch_20200513-093730_1685,class_20200513-093730_1685,Pj9h-9XF9,,,,,
tch_20200513-093730_1688,class_20200513-093730_1688,8JN4-rL94,,,,,
tch_20200513-093730_1691,class_20200513-093730_1691,r63T-u76b,,,,,
tch_20200513-093730_1689,class_20200513-093730_1689,Pk69-x6V6,,,,,
tch_20200513-093730_1692,class_20200513-093730_1692,7tvp-Y3Aa,,,,,
tch_20200513-093730_1690,class_20200513-093730_1690,9x8m-kCeC,,,,,
tch_20200513-093730_1693,class_20200513-093730_1693,96zB-3Lsw,,,,,
tch_20200513-093730_1696,class_20200513-093730_1696,uGRc-4hj9,,,,,
tch_20200513-093730_1695,class_20200513-093730_1695,mijw-pG42,,,,,
tch_20200513-093730_1697,class_20200513-093730_1697,L3GC-qteM,,,,,
tch_20200513-093730_1694,class_20200513-093730_1694,XLQ6-tYrK,,,,,
tch_20200513-093730_1698,class_20200513-093730_1698,eo6P-GwHm,,,,,
tch_20200513-093730_1700,class_20200513-093730_1700,YpUZ-92jX,,,,,
tch_20200513-093730_1699,class_20200513-093730_1699,aQ3p-Fzi2,,,,,
tch_20200513-093730_1701,class_20200513-093730_1701,U6r4-Y27s,,,,,
tch_20200513-093730_1702,class_20200513-093730_1702,MuRQ-c4fX,,,,,
tch_20200513-093730_1703,class_20200513-093730_1703,KeDQ-ZKBb,,,,,
tch_20200513-093730_1705,class_20200513-093730_1705,3nLt-7yNC,,,,,
tch_20200513-093730_1704,class_20200513-093730_1704,4e6u-7s3m,,,,,
tch_20200513-093730_1706,class_20200513-093730_1706,kHA2-82xX,,,,,
tch_20200513-093730_1709,class_20200513-093730_1709,b2uv-KY7f,,,,,
tch_20200513-093730_1707,class_20200513-093730_1707,pPsK-93yz,,,,,
tch_20200513-093730_1708,class_20200513-093730_1708,Mgxk-v2XE,,,,,
tch_20200513-093730_1711,class_20200513-093730_1711,Hrnt-CLwn,,,,,
tch_20200513-093730_1710,class_20200513-093730_1710,pdGm-eB78,,,,,
tch_20200513-093730_1712,class_20200513-093730_1712,kUPk-VWcq,,,,,
tch_20200513-093730_1714,class_20200513-093730_1714,9U6q-APNX,,,,,
tch_20200513-093730_1715,class_20200513-093730_1715,43a2-bRgM,,,,,
tch_20200513-093730_1713,class_20200513-093730_1713,Z8wM-Wph8,,,,,
tch_20200513-093730_1718,class_20200513-093730_1718,FYzP-o8Wu,,,,,
tch_20200513-093730_1716,class_20200513-093730_1716,hWYw-Uc4V,,,,,
tch_20200513-093730_1717,class_20200513-093730_1717,DPnQ-e6iq,,,,,
tch_20200513-093730_1720,class_20200513-093730_1720,Ga2t-KrJQ,,,,,
tch_20200513-093730_1719,class_20200513-093730_1719,Fwu8-wdu4,,,,,
tch_20200513-093730_1721,class_20200513-093730_1721,au4F-RjQ7,,,,,
tch_20200513-093730_1722,class_20200513-093730_1722,RAbG-qkCR,,,,,
tch_20200513-093730_1723,class_20200513-093730_1723,rB4W-QxYL,,,,,
tch_20200513-093730_1724,class_20200513-093730_1724,7TYi-E2Y6,,,,,
tch_20200513-093730_1725,class_20200513-093730_1725,9qAr-nwqm,,,,,
